year,month,day,weekday,sub_city,woreda,fire_type,cause_type,property_damage,water_used,personnel,distance_km,response_minutes,severity
2016,1,11,0,ኮ/ቃራኒዮ,9,የመኪና ቃጠሎ,አይታወቅም,50000.0,300.0,9.0,6.0,5.0,Low
2016,2,11,3,ጉለሌ,8,የሻይ ቤት ቃጠሎ,አይታወቅም,50000.0,11000.0,21.0,4.0,4.0,Low
2016,3,11,4,ለሚ ኩራ ,2,የሱቅ ቃጠሎ,ኤ/ኮንታክት,400000.0,12000.0,16.0,8.0,9.0,Medium
2016,6,11,5,ቦሌ,3,የመኪና ቃጠሎ,አይታወቅም,250000.0,4000.0,9.0,5.0,6.0,Medium
2016,7,11,0,ቦሌ,13,የመኖሪያ ቤት ቃጠሎ,አይታወቅም,600000.0,24000.0,27.0,6.0,7.0,Medium
2016,10,11,1,ኮ/ቃራኒዮ,5,የቤት ቃጠሎ,አይታወቅም,50000.0,3000.0,6.0,6.0,7.0,Low
2016,10,11,1,ቦሌ,4,የቤት ቃጠሎ,አይታወቅም,230000.0,3000.0,9.0,2.0,3.0,Medium
2016,11,13,6,ኮ/ቃራኒዮ,4,የመኪና ቃጠሎ,አይታወቅም,2000000.0,6000.0,15.0,2.0,5.0,High
2016,11,15,1,ኦሮሚያ,ፉሪ,የመኪና ቃጠሎ,አይታወቅም,2500000.0,3000.0,15.0,20.0,22.0,High
2016,11,17,3,ኮልፌ,1,የንግድ ሱቆችና መኖሪያ ቤት ቃጠሎ,አይታወቅም,11000000.0,32000.0,38.0,10.0,12.0,High
2016,11,17,3,አራዳ,4,የቤት ቃጠሎ,አይታወቅም,800000.0,18000.0,24.0,3.0,4.0,Medium
2016,11,18,4,ሸገር ሲቲ,መልካናኖ,የሱቅ ቃጠሎ,አይታወቅም,2000000.0,19000.0,22.0,3.0,6.0,High
2016,11,18,4,ቂርቆስ,4,የቤት ቃጠሎ,አይታወቅም,30000.0,15000.0,21.0,1.0,1.0,Low
2016,11,19,5,ለሚኩራ,11,የቁርስ ቤት ቃጠሎ,አይታወቅም,750000.0,4000.0,9.0,7.0,8.0,Medium
2016,11,19,5,ኮልፌ,2,የቤት ቃጠሎ, ኤ/ኮንታክት,2000000.0,6000.0,15.0,13.0,15.0,High
2016,11,22,1,ቂርቆስ,9,የቤትና ፔንስዮን ቃጠሎ,አይታወቅም,400000.0,18000.0,23.0,7.0,8.0,Medium
2016,11,22,1,ን/ስ/ላ,10,የጥጥ ቃጠሎ,የብየዳ ፍንጣሪ,3015000.0,80000.0,45.0,2.0,2.0,High
2016,11,25,4,ቦሌ,12,የሱቅ ቃጠሎ,አይታወቅም,5000000.0,12000.0,15.0,5.0,6.0,High
2016,11,25,4,ኮልፌ,4,የቤት ቃጠሎ, ኤ/ኮንታክት,5000.0,100.0,9.0,6.0,5.0,Low
2016,11,27,6,ቦሌ,12,የቤት ቃጠሎ,አይታወቅም,70000.0,6000.0,9.0,3.0,4.0,Low
2016,11,29,1,ቂርቆስ,9,ሬስቶራንት ቃጠሎ, ኤ/ኮንታክት,2000000.0,850.0,9.0,6.0,7.0,High
2016,1,12,1,አ/ከ,8,የቤት ቃጠሎ,አይታወቅም,500000.0,20000.0,21.0,2.0,2.0,Medium
2016,4,12,1,ልደታ,9,የፖል ቃጠሎ,አይታወቅም,0.0,500.0,6.0,1.0,1.0,Low
2016,5,12,3,አቃቂ,8,የመኪና ቃጠሎ,አይታወቅም,1500000.0,4000.0,9.0,2.0,3.0,High
2016,6,12,6,አ/ከተማ,7,የቤት ቃጠሎ,አይታወቅም,50000.0,14500.0,16.0,2.0,2.0,Low
2016,8,12,4,ኮልፌ,4,የፖል ቃጠሎ,አይታወቅም,3000000.0,300.0,9.0,3.0,3.0,High
2016,12,12,0,ኮልፌ,3,የፖል ቃጠሎ,አይታወቅም,0.0,1000.0,6.0,3.0,4.0,Low
2016,12,15,3,ጉለሌ,7,የግሮሰሪ ቃጠሎ,አይታወቅም,25000.0,12000.0,17.0,4.0,5.0,Low
2016,12,16,4,ኮልፌ,4,የቤት ቃጠሎ, ኤ/ኮንታክት,40000.0,18000.0,23.0,2.0,2.0,Low
2016,12,17,5,ኮልፌ,4,የሱቅ ቃጠሎ,የኤ/ኮንታክት,200000.0,2000.0,9.0,2.0,1.0,Medium
2016,12,20,1,ኦሮሚያ ,ገላን ,ትራንስፎርመር ቃጠሎ,አይታወቅም,800000.0,6000.0,6.0,3.0,16.0,High
2016,12,21,2,አ/ከተማ,1,የቤት ቃጠሎ,አይታወቅም,140000.0,2000.0,9.0,16.0,15.0,Medium
2016,11,23,2,ለሚኩራ,10,የሱቅ ቃጠሎ,አይታወቅም,40000.0,6000.0,9.0,5.0,5.0,Low
2016,12,23,4,ን/ስልክ,9,የሱቅ ቃጠሎ,አይታወቅም,300000.0,18000.0,21.0,2.0,2.0,Medium
2016,12,24,5,አቃቂ,1,የፖል ቃጠሎ,የኤ/ኮንታክት,23000.0,3000.0,8.0,6.0,8.0,Low
2016,12,25,6,ለሚኩራ,2,የፖል ቃጠሎ,የኤ/ኮንታክት,5000.0,1000.0,5.0,1.0,2.0,Low
2016,12,26,0,የካ,4,የቤት ቃጠሎ,አይታወቅም,90000.0,4000.0,9.0,3.0,4.0,Low
2016,12,27,1,ሸገር ሲቲ,ኮዬ ፈቼ,የትራንስፎርመር ቃጠሎ,አይታወቅም,10000.0,500.0,9.0,13.0,14.0,Low
2016,12,27,1,ልደታ,10,መጋዘን ቃጠሎ,አይታወቅም,20000.0,6000.0,9.0,3.0,3.0,Low
2016,12,28,2,አቃቂ,7,የኔትወርክ ቦክስ ቃጠሎ,አይታወቅም,100000.0,3000.0,9.0,3.0,4.0,Medium
2016,1,13,2,ሰበታ,ጨስለቃ,የሆቴል ቃጠሎ,አይታወቅም,4000000.0,9000.0,15.0,36.0,47.0,High
2016,2,13,5,ኮልፌ,7,የቤት ቃጠሎ,ኤ/ኮንታክት ,5000.0,200.0,6.0,2.0,2.0,Low
2016,4,13,2,አቃቂ,8,የእቃ ማስቀመጫ ኮንቴነር ቃጠሎ,አይታወቅም,2000000.0,24000.0,29.0,2.0,2.0,High
2017,2,1,2,ኮልፌ,6,የፖል ቃጠሎ,አይታወቅም,20000.0,3000.0,6.0,5.0,10.0,Low
2017,5,1,0,ለሚኩራ,5,መኖሪያ ቤት  (የካህናት),አይታወቅም,300000.0,9000.0,15.0,5.0,8.0,Medium
2017,6,1,3,ልደታ,7,የቤት ቃጠሎ,አይታወቅም,1000000.0,12000.0,15.0,2.0,3.0,High
2017,9,1,4,ኮልፌ,7,የቤት ቃጠሎ,አይታወቅም,500000.0,9000.0,23.0,1.0,1.0,Medium
2017,10,1,6,የካ,12,የቤት ቃጠሎ,አይታወቅም,500000.0,12000.0,21.0,8.0,9.0,Medium
2017,12,1,4,ቦሌ,4,የቤት ቃጠሎ,የኤ/ኮንታክት,50000.0,1000.0,9.0,1.0,2.0,Low
2016,1,19,1,ኦሮ,ገ/ከተማ,የፋብሪካ ቃጠሎ,አይታወቅም,10000000.0,223000.0,54.0,18.0,17.0,High
